Jugador;Equipo;Posición principal;Posiciones;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases recibidos /90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Goles recibidos;Goles recibidos/90;Remates en contra;Remates en contra/90;Porterías imbatidas en los 90;Paradas, %;xG en contra;xG en contra/90;Goles evitados;Goles evitados/90;Pases hacía atrás recibidos del arquero/90;Salidas/90;Duelos aéreos en los 90;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %;
E. Pavez;Colo Colo;DMF;DMF, RDMF, RCMF;34;550000;2025-12-31;24;2254;2;1,98;2;1,18;9,54;61,92;Chile;Chile;derecho;180;76;no;8,07;5,63;71,63;0,8;40;0,68;1,2;0,16;3,35;5,94;0,96;1;0,04;1;0,04;0,48;0,08;2;0,08;0,08;0;0;29;1,16;27,59;6,897;0,08;0,24;33,33;0;0;0,24;33,33;0,12;0,2;0;1,16;34,48;0,72;0,92;0,08;43,2;0,12;0,28;57,34;88,93;19,37;81,44;5,19;96,92;24,44;92,81;51,03;92,18;6,07;63,82;19,16;34,52;0,05;0,48;0;0;0,28;28,57;0,16;10,26;77,04;1,2;50;1,04;34,62;0,48;0,12;9,18;82,61;0;;0;;0;0;0;0;;;1,12;;;0;0;0;0;0;0;
B. Carrasco;Palestino;RW;RW, RWF, RAMF;33;550000;2024-12-31;27;2126;9;6,22;0;4,77;14,27;41,54;Chile;Chile;derecho;171;70;no;3,98;4,23;68;2,12;24;0,04;0,06;0;1,06;1,55;0,85;6;0,25;1;0,04;2,24;0,38;5;0,21;0,26;1;0,04;33;1,4;42,42;27,273;0;3,64;27,91;0,13;0;3,47;28,05;0,68;1,19;50;4,57;31,48;1,82;0,42;0,13;17,31;2,24;0,85;23,11;70,88;4,83;70,18;4,02;87,37;8,42;60,8;18,29;80,56;1,31;51,61;16,96;22,36;0,2;1,44;0,08;0;0,17;25;0,47;1,82;67,44;3,94;37,63;0,42;20;0,8;1,06;3,94;76,34;0;;0;;0;0;0;0;;;0,08;;;1,14;0,17;75;2,58;4;100;
A. Azócar;Coquimbo Unido;CF;CF, LW, RW;24;550000;2025-12-31;28;1264;3;2,2;1;1,38;24,21;37,94;Chile;Chile;izquierdo;180;72;si;4,63;4,41;59,68;5,34;18,67;0,07;0,1;0;1,92;2,67;0,71;4;0,28;0;0;3,06;0,21;3;0,21;0,16;0;0;22;1,57;22,73;13,636;0,07;2,99;23,81;2,21;19,35;0,78;36,36;0,14;3,42;56,25;10,54;39,86;2,78;2,49;1,07;11,53;1,14;2,06;19,37;74,63;4,77;73,13;5,06;94,37;5,55;60,26;15,66;85;0,85;58,33;17,44;14,06;0,1;0,57;0,07;0;0,07;100;0,14;1,5;61,9;2,56;38,89;0,14;50;0,93;0,5;2,63;81,08;0;;0;;0;0;0;0;;;0;;;0,07;0;0;0,5;0;0;
Y. Zapata;O'Higgins;LW;LW, LWB, LWF;24;550000;2025-12-31;13;852;1;1,45;1;1,12;24,08;39,91;Colombia;Colombia;derecho;175;75;no;5,92;6,44;60,66;1,06;20;0,63;0,85;0;1,37;1,83;1,16;5;0,53;0;0;4,44;0,11;1;0,11;0,15;0;0;12;1,27;50;8,333;0,11;2,85;37,04;2,64;40;0,21;0;0,32;4,54;55,81;12,57;37,82;2,64;2,01;0,32;12,46;1,37;0,74;20,18;70,68;3,49;57,58;3,59;82,35;8,24;76,92;16,06;77,63;1,48;64,29;18,63;17,69;0,12;1,06;0;0;0,21;100;0,42;1,27;58,33;3,27;58,06;0,32;100;1,27;1,06;3,7;77,14;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0;
A. Castillo;Huachipato;LB;LB;25;550000;2025-12-31;19;1792;1;1,07;0;0,66;15,77;53,5;Chile;Chile;izquierdo;175;74;no;11,3;8,64;58,72;2,46;63,27;0,8;1,08;0,15;5,42;7,26;1,26;3;0,15;0;0;1,76;0,05;1;0,05;0,05;1;0,05;12;0,6;25;8,333;0;2,71;42,59;2,71;42,59;0;0;0,25;1,26;36;2,76;36,36;0,6;0,75;0,1;19,24;2,06;0,4;31,74;75,47;13,51;66,17;4,17;93,98;9,79;77,95;24,71;84,35;4,67;46,24;20,16;35,01;0,03;0,25;0,05;0,05;0,05;0;0,15;4,32;51,16;2,46;44,9;0,3;33,33;0,25;1;7,53;64,67;0;;0;;0;0;0;0;;;0,45;;;0,05;0;0;0;0;0;
M. González;O'Higgins;RB;RB, RCB, RDMF;23;550000;;30;2642;0;0,46;0;0,21;16,56;60,49;Chile;Chile;derecho;181;74;no;9,67;8,55;71,31;3,37;42,42;0,07;0,1;0,1;3,51;4,98;1,02;4;0,14;1;0,03;0,58;0;0;0;0,02;0;0;5;0,17;20;0;0;0,41;25;0,03;0;0,37;27,27;0,1;0,82;54,17;2,62;45,45;0,34;0,68;0,1;18,12;0,48;1,06;29,33;79,67;12,94;69,74;2,73;91,25;10,36;88,49;24,05;85,84;4,94;53,79;20,41;33,99;0,01;0,14;0,03;0;0,03;0;0,03;4,5;68,18;0,65;26,32;0,27;37,5;0,17;0,07;6,44;69,31;0;;0;;0;0;0;0;;;0,82;;;0;0;0;0,03;0;0;
I. Núñez;Unión Española;RDMF;RDMF, LCMF, RCMF;25;550000;2025-12-31;28;2264;0;2,18;2;1,52;17,29;48,05;Chile;Chile;derecho;170;65;no;10,45;8,75;56,36;2,5;38,1;1,07;1,58;0,28;4,45;6,54;1,43;8;0,32;1;0,04;0,76;0;0;0;0,09;0;0;17;0,68;17,65;0;0,08;0,8;25;0,2;0;0,56;28,57;0,04;0,68;52,94;3,34;36,9;1,31;0,87;0,12;29,73;0,64;0,64;42,14;83,87;10,93;73,45;7,47;92,02;14,23;88,83;39;86,44;2,35;61,02;16,39;28,01;0,06;0,48;0,08;0;0,2;40;0,24;4,69;75,42;1,19;46,67;0,32;62,5;0,6;0,16;4,17;65,71;0;;0;;0;0;0;0;;;0,32;;;0,08;0;0;0,24;0;0;
F. Espinoza;Deportes Iquique;RCMF;RCMF, LCMF;26;500000;;6;180;0;0,09;0;0,31;;;Chile;Chile;derecho;170;0;no;;;;;;;0,94;;;7,5;;0;;0;;;;0;;;0;;1;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,88;27,79;;;;;;;;;;;;;;;;;;0;;0;;0;0;0;;;;;;;;;;;0;0;
B. Véjar;Palestino;LB;LB, RB, RW;29;500000;2024-12-31;21;850;2;0,68;0;1,21;16,52;51,28;Chile;Chile;derecho;169;63;no;8,58;7,62;66,67;1,8;41,18;0,11;0,16;0;3,39;5,08;0,64;0;0;1;0,11;2,86;0,21;2;0,21;0,07;0;0;13;1,38;46,15;15,385;0;2,54;45,83;0,95;55,56;1,48;35,71;0,21;1,8;58,82;4,76;40;0,95;1,27;0,74;22,34;1,48;0,42;33,99;70,4;14,4;54,41;4,76;93,33;10,06;82,11;24,67;80,69;6,99;42,42;20,73;30,18;0,13;1,06;0;0;0,32;0;0,21;6,46;50,82;4,13;46,15;1,48;14,29;0,64;1,27;8,15;64,94;0;;0;;0;0;0;0;;;0,21;;;0,95;0;0;0,53;0;0;
P. Palacio;Palestino;RW;RW, LWF, LW;24;500000;2025-12-31;21;926;0;0,73;2;1,66;24,01;46,96;Argentina;Argentina;derecho;180;74;si;7,78;7,78;53,75;2,24;17,39;0,39;0,56;0,1;3,21;4,58;2,04;8;0,78;0;0;4,28;0;0;0;0,07;0;0;11;1,07;27,27;0;0,19;2,62;40,74;0,58;33,33;2,04;42,86;0,49;4,28;59,09;11,27;51,72;1,85;1,36;0,1;17,88;1,85;1,94;29,74;72,22;7,78;50;7,87;85,19;8,36;74,42;23,13;81,51;4,18;39,53;20,01;34,22;0,16;1,26;0,19;0;0,39;100;0,39;3,01;35,48;3,11;65,63;1,07;36,36;1,46;1,07;5,05;76,92;0;;0;;0;0;0;0;;;0,1;;;0,29;0;0;0,58;0;0;
S. Contreras;O'Higgins;RB;RB, RAMF;22;500000;;16;1130;2;0,7;1;0,86;17,28;58,99;Chile;Chile;derecho;174;75;no;11,23;8,84;70,27;2,39;60;0,96;1,27;0,16;4,06;5,39;0,8;2;0,16;0;0;1,83;0,16;2;0,16;0,06;0;0;9;0,72;44,44;22,222;0,08;1,91;16,67;0,08;0;1,83;17,39;0,08;2,07;57,69;3,66;45,65;1,43;1,51;0,16;18,4;2,07;0,88;27,16;68,62;10,83;57,35;4,38;98,18;7,41;65,59;22,06;77,98;3,35;33,33;19,73;33,08;0,07;0,4;0;0;0,08;0;0,16;3,74;57,45;2,15;33,33;0,16;0;0,64;0,24;5,42;64,71;0;;0;;0;0;0;0;;;0,32;;;0;0;0;0;0;0;
D. Céspedes;Cobresal;RCMF;RCMF, RDMF, RCB;26;500000;;26;1984;2;1,95;1;0,5;11,89;48,85;Chile;Chile;derecho;180;71;no;8,12;5,49;62,81;3,36;44,59;0,36;0,44;0,32;4,31;5,19;0,54;4;0,18;1;0,05;0,5;0,09;2;0,09;0,09;2;0,09;20;0,91;40;10;0,05;0,18;50;0;0;0,14;66,67;0,05;0,27;16,67;1,09;29,17;0,73;0,36;0;21,86;0,45;0,23;32,98;86,66;12,16;78,73;3,08;92,65;13,29;93,17;28,94;91,07;3,86;55,29;19,95;33,95;0,02;0,27;0,05;0,05;0,05;0;0,18;4,85;69,16;0,95;47,62;0,5;45,45;0,36;0,14;5,85;76,74;0;;0;;0;0;0;0;;;0,59;;;0;0;0;0;0;0;
A. Ibacache;Everton;LB;LB, LWB;25;500000;2025-12-31;8;529;1;0,27;1;0,46;13,27;60,26;Chile;Chile;izquierdo;175;75;si;6,47;4,76;67,86;1,53;55,56;0,51;0,67;0;2,72;3,56;1,02;2;0,34;1;0,17;2,89;0,17;1;0,17;0,05;0;0;3;0,51;33,33;33,333;0,17;2,21;38,46;2,04;41,67;0,17;0;0,34;2,38;78,57;5,1;53,33;1,02;3,23;0,68;15,99;1,36;0,68;24,5;72,92;10,04;69,49;3,4;90;6,64;69,23;19,57;76,52;2,89;76,47;19,98;28,32;0,08;0,51;0;0;0;0;0,17;3,74;72,73;2,38;50;0;0;0,85;0,68;6,64;74,36;0;;0;;0;0;0;0;;;0,34;;;0,17;0;0;0;0;0;
G. Gil Romero;Audax Italiano;DMF;DMF, LCMF, LW;31;500000;2025-12-31;7;491;0;0,7;0;0;13,38;56,16;Argentina;Argentina;derecho;177;79;no;10,63;6,05;63,64;2,02;63,64;1,28;1,62;0,92;5,5;6,92;0,73;2;0,37;1;0,18;0;0;0;0;0,13;0;0;4;0,73;0;0;0;0;0;0;0;0;0;0;0;0;1,83;40;0,55;0,55;0;19,43;0,37;0,73;33,36;85,16;10,63;70,69;4,95;92,59;11,73;93,75;32,08;86,86;1,28;42,86;16,24;14,62;0;0,18;0;0;0;0;0;3,67;75;0,55;0;0,18;0;0;0;4,58;68;0;;0;;0;0;0;0;;;0,37;;;0;0;0;0,37;0;0;
B. Oyarzo;Ñublense;RW;RW, RAMF;29;500000;2025-12-31;26;2110;6;3,42;3;4,04;30,28;40,56;Chile;Chile;derecho;165;64;no;7,72;8,27;59,28;1,96;8,7;0,17;0,23;0,04;2,64;3,64;1,66;3;0,13;0;0;5,97;0,26;5;0,21;0,15;0;0;33;1,41;42,42;18,182;0,13;2,94;44,93;0,26;50;2,56;43,33;0,21;7,85;50,54;16,42;36,88;3,07;4,65;1,66;15,53;1,45;1,07;23,55;76,27;5,5;65,89;4,39;92,23;7,12;74,25;19,79;81,9;0,85;55;16,06;15,04;0,17;1,32;0,09;0;0,26;33,33;0,9;2,22;61,54;2,64;51,61;0,38;22,22;1,11;1,19;3,28;80,52;0;;0;;0;0;0;0;;;0;;;0,04;0;0;0,73;1;100;
A. Canales;Universidad Católica;RCMF;RCMF, LDMF, LCMF;24;500000;2026-12-31;25;1469;3;1,58;0;0,32;17,46;45,26;Chile;Chile;derecho;189;73;no;8,52;6,19;58,42;2,7;54,55;0,12;0,19;0,25;4,78;7,29;1,9;5;0,31;1;0,06;1,16;0,18;3;0,18;0,1;1;0,06;19;1,16;36,84;15,789;0;0,31;0;0,18;0;0,12;0;0,06;0,98;56,25;5,64;30,43;0,74;0,67;0,06;33,51;0,37;0,49;47,3;83,68;15,93;71,15;4,84;87,34;20,03;89,91;41,29;86,35;5,7;68,82;19,04;33,64;0,02;0,43;0,12;0,06;0,61;30;0,12;10,48;74,27;1,65;40,74;0,98;37,5;0,8;0;10,05;76,83;0;;0;;0;0;0;0;;;0,49;;;0;0;0;0;0;0;
C. Pinares;Universidad Católica;RW;RW, RCMF;33;500000;2024-12-31;26;1936;0;1,76;4;3,8;17,94;41,45;Chile;Chile;izquierdo;176;74;no;5,76;4,6;57,58;1,49;37,5;0,09;0,15;0,23;3,02;4,91;1,16;0;0;0;0;2,56;0;0;0;0,08;0;0;28;1,3;28,57;0;0,19;1,86;35;0,51;36,36;1,26;33,33;0,14;3,02;47,69;9,34;36,82;0,65;0,98;0,37;24,59;0,88;1,21;35,47;79,95;13,95;68,33;5,21;96,43;10,09;85,71;29,52;86,14;4,09;55,68;19,2;34,28;0,18;1,44;0,09;0,05;0,65;14,29;0,42;5,76;70,16;3,53;46,05;1,49;40,63;0,88;0,74;6,88;74,32;0;;0;;0;0;0;0;;;0,05;;;1,91;0,23;60;2,37;0;0;
I. Rozas;Ñublense;LCMF;LCMF, DMF;26;500000;2024-12-31;22;1389;1;0,51;1;0,85;17,88;52,9;Chile;Chile;izquierdo;178;80;no;10,69;9,33;60,42;1,43;36,36;1,1;1,54;0;3,95;5,51;1,43;3;0,19;0;0;1,43;0,06;1;0,06;0,03;0;0;16;1,04;43,75;6,25;0,06;1,43;27,27;1,17;27,78;0,19;33,33;0,13;1,17;44,44;4,6;38,03;0,45;1,1;0,32;27,08;0,45;0,84;39,01;78,41;12,05;67,2;7,52;94,83;13,67;79,62;31,81;84,32;5,83;57,78;21,28;38,05;0,06;0,91;0,06;0;0,13;50;0,19;6,41;60,61;2,27;34,29;0,65;30;0,39;0,45;7,45;75,65;0;;0;;0;0;0;0;;;0,52;;;1,43;0,32;80;2,85;0;0;
Y. Leiva;O'Higgins;LCMF;LCMF, LDMF, RDMF;26;500000;2025-12-31;20;1062;1;1,02;0;1,24;14,75;48,28;Chile;Chile;derecho;166;63;si;8,14;5,68;65,67;1,44;35,29;0,42;0,54;0,34;3,98;5,05;0,85;2;0,17;0;0;2,29;0,08;1;0,08;0,09;0;0;22;1,86;31,82;4,545;0;1,53;38,89;0,85;20;0,68;62,5;0,25;1,53;55,56;5;38,98;1,19;1,02;0,51;22,37;0,76;0,85;33,39;77,16;14,58;69,19;4,49;94,34;9,15;80,56;28,47;83,33;3,47;43,9;18,1;29,25;0,11;0,68;0;0;0,42;60;0,25;6,02;71,83;2,46;37,93;0,93;27,27;0,59;0,51;6,78;73,75;0;;0;;0;0;0;0;;;0,17;;;0,17;0;0;0;0;0;
A. Riep;Audax Italiano;RW;RW, LW, LWF;21;500000;2024-12-31;28;1553;4;3,92;2;1,48;24,22;44,98;Argentina;Argentina;;0;0;si;7,77;7,01;59,5;3,82;50;0,35;0,47;0,06;3,25;4,39;0,81;3;0,17;0;0;3,3;0,23;4;0,23;0,23;1;0,06;32;1,85;53,13;12,5;0,12;1,45;36;0,35;33,33;1,1;36,84;0,29;3,48;50;9,5;34,76;2,84;1,16;0,7;14,84;1,45;1,39;21,09;76,37;4,46;54,55;5,62;90,72;5,97;71,84;18,83;81,54;0,81;28,57;14,83;14,04;0,09;1,04;0,06;0,06;0,23;25;0,35;1,33;56,52;2,09;41,67;0,17;33,33;0,75;0,52;2,14;62,16;0;;0;;0;0;0;0;;;0,06;;;0,17;0;0;0,17;0;0;
G. Ortíz;Audax Italiano;LCB;LCB, CB;32;500000;2025-12-31;24;2317;0;1,2;0;0,45;10,29;58,49;Argentina;Argentina;derecho;182;76;si;6,6;4,08;65,71;4,39;57,52;0,08;0,1;0,31;3,85;4,94;0,54;8;0,31;2;0,08;0,12;0;0;0;0,05;0;0;9;0,35;22,22;0;0;0,04;0;0,04;0;0;0;0,04;0,08;50;0,54;42,86;0,54;0,43;0;20,63;0,35;0,12;33,13;82,42;16,78;73,84;1,63;92,86;12,24;93,02;25,99;88,64;7,11;60,11;24,65;41,19;0,02;0,04;0;0;0;0;0;4,74;64,75;0,5;30,77;0,19;40;0,16;0;8,43;67,74;0;;0;;0;0;0;0;;;1,24;;;0;0;0;0;0;0;
O. Carabalí;Audax Italiano;GK;GK;27;500000;2024-12-31;4;409;0;0;0;0;0,66;66,67;Ecuador;Ecuador, Chile;izquierdo;187;85;si;0,88;0,22;0;0,44;100;0;0;0;0,88;0,99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,42;0,22;0,22;21,34;80,41;14,52;72,73;0;0;5,72;96,15;10,12;93,48;11,22;68,63;37,42;52,61;0;0;0;0;0;0;0;3,08;78,57;0;0;0;0;0;0;9,68;68,18;6;1,32;30;6,6;1;80;10,68;2,35;4,68;1,03;0;1,76;0,44;;;;0;0;0;
M. Collao;Audax Italiano;RCMF;RCMF, DMF, LCMF;26;500000;;31;2688;1;1,62;1;3,8;18,48;49,46;Chile;Chile;derecho;173;67;no;9,51;7,6;60,79;1,51;44,44;0,8;1,05;0,13;4,08;5,33;1,64;9;0,3;0;0;1,61;0,03;0;0;0,05;0;0;25;0,84;16;4;0,03;0,94;32,14;0,1;33,33;0,84;32;0;1,88;57,14;5,83;41,95;0,44;0,9;0,2;26,32;0,4;1,14;41,82;80,78;16,44;71,08;4,39;94,66;14,46;88,43;36,36;85,73;4,59;51,09;18,8;35,32;0,13;1,07;0;0;0,2;50;0,2;7,63;67,54;2,18;40;0,7;33,33;0,6;0,27;6,83;69,12;0;;0;;0;0;0;0;;;0,64;;;0,94;0;0;1,74;1;100;
M. Fuentes;Palestino;LW;LW, CF, LAMF;26;500000;2025-12-31;10;544;0;1,11;0;0,57;29,12;42,05;Chile;Chile;derecho;177;71;si;7,11;6,95;61,9;4,96;43,33;0,17;0,25;0,17;2,65;4;1,16;4;0,66;1;0,17;3,47;0;0;0;0,18;0;0;9;1,49;11,11;0;0;1,99;41,67;1,16;57,14;0,83;20;0,33;5,46;45,45;12,08;34,25;2,81;1,65;0;17,04;2,48;1,16;25,48;71,43;7,61;71,74;5,96;72,22;7,78;72,34;22,33;75,56;1,65;40;17,38;27,34;0,09;0,33;0;0;0;0;0,33;2,48;66,67;2,32;64,29;0;0;0,99;0,83;4,8;89,66;0;;0;;0;0;0;0;;;0,17;;;0;0;0;0;0;0;
F. De Paul;Colo Colo;GK;GK;33;500000;2026-12-31;10;826;0;0;0;0;1,2;100;Argentina;Argentina, Chile;derecho;183;83;no;2,07;0,11;100;0,98;100;0;0;0;1,96;3,65;0;1;0,11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,75;0;0;22,12;91,63;10,02;84,78;0;0;11,11;99,02;16,13;98,65;5,67;76,92;28,5;45,17;0;0;0;0;0;0;0;1,85;58,82;0,11;0;0,22;0;0;0;4,9;73,33;4;0,44;34;3,7;4;88,24;8,09;0,88;4,09;0,446;0;2,29;0,98;;;;0;0;0;
E. Hernández;Coquimbo Unido;RCB;RCB, LCB;25;500000;;10;864;1;1,02;0;0;17,92;60,47;Argentina;Argentina, Chile;derecho;182;77;no;9,38;6,88;78,79;4,79;47,83;0,21;0,3;0,21;3,75;5,4;1,15;3;0,31;0;0;0,42;0,1;1;0,1;0,11;0;0;6;0,63;50;16,667;0;0;0;0;0;0;0;0;0,31;33,33;1,25;16,67;0,63;0,21;0;12,4;0,42;0,52;22,5;79,63;10,21;68,37;1,46;100;9,17;89,77;18,75;87,78;3,75;38,89;18,94;29,39;0;0;0;0;0;0;0;2,71;34,62;0,21;0;0,21;50;0;0;4,17;60;0;;0;;0;0;0;0;;;1,35;;;0;0;0;0;0;0;
F. Bechtholdt;Cobresal;RCB;RCB;31;500000;;20;1726;0;0,3;0;0,05;14,55;59,5;Argentina;Argentina, Chile;derecho;176;67;no;9,54;5,94;71,93;5,53;53,77;0,99;1,36;0,57;4,28;5,87;0,68;4;0,21;1;0,05;0,1;0;0;0;0,02;0;0;2;0,1;0;0;0;0,05;100;0;0;0;0;0;0,1;50;0,73;50;0,26;0,05;0,1;20,39;0,42;0,26;32,38;90,18;12,72;79,92;1,77;94,12;14,91;97,55;29,51;93,29;2,82;57,41;20,81;36,03;0;0,05;0;0;0;0;0;2,66;68,63;0,21;0;0,16;0;0,05;0,05;4,8;63,04;0;;0;;0;0;0;0;;;1,1;;;0;0;0;0;0;0;
F. Mateos;Universidad de Chile;LCMF;LCMF, RCMF, LW;31;500000;2025-12-31;17;622;1;0,49;0;0,22;18,95;48,09;Argentina;Argentina;derecho;177;71;no;10,56;9,12;61,9;2,89;40;0,43;0,76;0;4,49;7,88;1,74;4;0,58;0;0;2,17;0,14;1;0,14;0,07;0;0;10;1,45;40;10;0;1,3;11,11;0,72;20;0,58;0;0;2,17;66,67;4,49;38,71;1,59;0,58;0,29;26,33;0,72;0,14;42,25;78,42;12,3;70,59;5,64;89,74;18,23;80,16;33,28;85,65;7,67;58,49;20,23;25,86;0,03;0,87;0,14;0;0,14;0;0,14;9,84;72,06;1,74;25;0,87;33,33;0,43;0;7,52;78,85;0;;0;;0;0;0;0;;;0,58;;;0;0;0;0,14;0;0;
M. Parra;Huachipato;GK;GK;24;500000;;19;1930;0;0;0;0;0,65;78,57;Chile;Chile;derecho;186;78;no;2,24;0,05;0;0,28;100;0;0;0;2,24;3;0,05;0;0;0;0;0,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,05;100;0,14;100;0;0;0;10,45;0,14;0,05;17,95;85,71;10,35;77,48;0;0;7,04;96,69;10,17;96,33;7,74;72,29;35,39;50,34;0;0;0;0;0;0;0;2,28;59,18;0,14;0;0,09;0;0;0;5,92;83,46;28;1,31;84;3,92;4;66,67;28,93;1,35;0,93;0,043;0;0,56;0,28;;;;0;0;0;
R. Malanca;Huachipato;RCB;RCB, LCB;21;500000;2025-12-31;21;1517;0;0,61;0;0;13,47;56,39;Argentina;Argentina, Italy;derecho;188;80;no;10,03;4,86;64,63;4,75;57,5;0,77;1,07;0,65;6,11;8,47;0,83;3;0,18;0;0;0,18;0;0;0;0,04;0;0;2;0,12;50;0;0;0,24;50;0,06;0;0,18;66,67;0,12;0,24;0;0,83;28,57;0,36;0,18;0,06;18,75;0,42;0,3;32,75;80,62;17,98;71,95;2,02;97,06;10,09;94,12;25,51;86,05;7;61,86;22,97;37,26;0;0;0;0;0;0;0;5,4;64,84;0,36;16,67;0,18;66,67;0,12;0,06;8,48;67,13;0;;0;;0;0;0;0;;;1,31;;;0;0;0;0;0;0;
C. Moya;O'Higgins;LDMF;LDMF, RCMF, LCMF;26;500000;2024-12-31;29;2071;3;2,2;0;0,14;14,47;52,25;Chile;Chile;derecho;170;76;no;8,17;6,74;58,06;2,3;47,17;0,61;0,88;0,09;3,65;5,25;1,52;7;0,3;2;0,09;1,09;0,13;2;0,09;0,1;0;0;28;1,22;25;10,714;0;0,43;50;0,04;0;0,3;42,86;0,04;0,74;70,59;3,17;49,32;0,39;0,83;0;22,03;0,17;1;35,07;82,28;12,86;69,26;3,43;93,67;14,17;91,72;30,42;85,43;4,3;62,63;19,87;37,15;0,01;0,17;0,09;0,04;0,22;20;0;6,91;73,58;1,26;34,48;0,61;35,71;0,26;0,04;6,74;74,84;0;;0;;0;0;0;0;;;0,3;;;0;0;0;0;1;100;
J. Díaz;O'Higgins;LCB;LCB;26;500000;2024-12-31;21;2139;1;1,02;1;0,69;13,09;69,77;Argentina;Argentina;izquierdo;182;79;no;10,52;5,64;82,84;3,41;66,67;0,5;0,71;0,29;5,34;7,54;0,67;7;0,29;0;0;0,5;0,04;1;0,04;0,04;1;0,04;8;0,34;12,5;12,5;0,04;0,42;60;0,34;50;0;0;0,08;0,34;62,5;1,56;48,65;0,55;0,67;0,21;21,92;0,5;0,55;40,31;79,33;18,72;68,31;3,37;96,25;15,32;89,56;29,45;87,86;10,43;56,05;24,62;39,45;0,03;0,34;0;0;0,04;0;0,13;7,66;63,19;1,43;44,12;0,34;37,5;0,34;0,25;10,73;70,59;0;;0;;0;0;0;0;;;2,44;;;0;0;0;0;0;0;
J. Brea;Huachipato;RW;RW, RWF, RAMF;25;500000;2024-12-31;26;1068;0;1,81;1;0,83;25,7;46,89;Argentina;Argentina;derecho;187;79;no;5,98;5,31;71,43;1,43;23,53;0,25;0,4;0;1,94;3,09;1,26;1;0,08;0;0;5,22;0;0;0;0,15;0;0;17;1,43;41,18;0;0,08;5,06;21,67;1,18;7,14;3,88;26,09;0,51;6,66;51,9;14,75;40;2,53;3,2;0,76;13,31;2,02;2,02;19,72;60,26;4,21;62;3,54;92,86;6,4;50;13,65;74,69;1,26;53,33;19,07;10,9;0,07;0,34;0;0;0,08;100;0,17;1,69;55;3,79;40;0,42;20;0,67;1,43;2,95;60;0;;0;;0;0;0;0;;;0,08;;;0;0;0;0;0;0;
L. Casanova;Deportes Iquique;LCB;LCB, RCB;32;500000;2024-12-31;26;2459;0;1,69;2;0,48;15,3;68,18;Chile;Chile;derecho;183;92;no;8,64;5,34;78,77;5,2;69,72;0,15;0,23;0,51;4,28;6,86;0,88;6;0,22;0;0;0,55;0;0;0;0,06;0;0;13;0,48;38,46;0;0,07;0,15;75;0;0;0,15;75;0,04;0,29;75;1,5;43,9;0,55;0,88;0;20,86;0,4;0,48;36,49;81,85;16,65;68,79;1,35;83,78;15,96;94,5;28,47;88,05;7,87;59,53;23,96;38,99;0,02;0,15;0;0;0,04;100;0,07;5,71;64,1;0,7;42,11;0,15;75;0,29;0,11;8,34;63,6;0;;0;;0;0;0;0;;;0,95;;;0,04;0;0;0;0;0;
