Jugador;Equipo;Posición principal;Posiciones;Edad;Valor de mercado (Transfermarkt);Vencimiento contrato;Partidos jugados;Minutos jugados;Goles;xG;Asistencias;xA;Duelos/90;Duelos ganados, %;País de nacimiento;Pasaporte;Pie;Altura;Peso;En prestamo;Acciones defensivas realizadas/90;Duelos defensivos/90;Duelos defensivos ganados, %;Duelos aéreos en los 90;Duelos aéreos ganados, %;Entradas/90;Posesión conquistada después de una entrada;Tiros interceptados/90;Interceptaciones/90;Posesión conquistada después de una interceptación;Faltas/90;Tarjetas amarillas;Tarjetas amarillas/90;Tarjetas rojas;Tarjetas rojas/90;Acciones de ataque exitosas/90;Goles/90;Goles (excepto los penaltis);Goles, excepto los penaltis/90;xG/90;Goles de cabeza;Goles de cabeza/90;Remates;Remates/90;Tiros a la portería, %;Goles hechos, %;Asistencias/90;Centros/90;Precisión centros, %;Centros desde la banda izquierda/90;Precisión centros desde la banda izquierda, %;Centros desde la banda derecha/90;Precisión centros desde la banda derecha, %;Centros al área pequeña/90;Regates/90;Regates realizados, %;Duelos atacantes/90;Duelos atacantes ganados, %;Toques en el área de penalti/90;Carreras en progresión/90;Aceleraciones/90;Pases recibidos /90;Pases largos recibidos/90;Faltas recibidas/90;Pases/90;Precisión pases, %;Pases hacia adelante/90;Precisión pases hacia adelante, %;Pases hacia atrás/90;Precision pases hacia atrás, %;Pases laterales/90;Precisión pases laterales, %;Pases cortos / medios /90;Precisión pases cortos / medios, %;Pases largos/90;Precisión pases largos, %;Longitud media pases, m;Longitud media pases largos, m;xA/90;Asistencias/90;Second assists/90;Third assists/90;Desmarques/90;Precisión desmarques, %;Jugadas claves/90;Pases en el último tercio/90;Precisión pases en el último tercio, %;Pases al área de penalti/90;Pases hacía el área pequeña, %;Pases en profundidad/90;Precisión pases en profundidad, %;Ataque en profundidad/90;Centros desde el último tercio/90;Pases progresivos/90;Precisión pases progresivos, %;Goles recibidos;Goles recibidos/90;Remates en contra;Remates en contra/90;Porterías imbatidas en los 90;Paradas, %;xG en contra;xG en contra/90;Goles evitados;Goles evitados/90;Pases hacía atrás recibidos del arquero/90;Salidas/90;Duelos aéreos en los 90;Tiros libres/90;Tiros libres directos/90;Tiros libres directos, %;Córneres/90;Penaltis a favor;Penaltis realizados, %;
M. Guerrero;Universidad de Chile;RWF;RWF, RCMF, AMF;24;1300000;2026-12-31;25;2380;5;4,54;4;3,88;17,47;43,51;Chile;Chile;derecho;170;65;no;5,07;5,82;58,44;1,82;31,25;0,15;0,27;0,19;1,51;2,67;1,06;6;0,23;0;0;3,1;0,19;5;0,19;0,17;1;0,04;35;1,32;42,86;14,286;0,15;3,25;30,23;0,3;50;2,91;27,27;0,61;3,63;40,63;7,68;34,98;2,23;2,91;0,76;24,62;2;0,64;33,13;77,17;7,87;65,87;7,41;95,41;11,04;75,34;28,85;83,49;1,29;41,18;16,85;31,48;0,15;1,85;0,11;0,04;0,3;25;0,61;2,91;70,13;3,59;46,32;0,34;22,22;0,87;0,98;4,61;78,69;0;;0;;0;0;0;0;;;0,15;;;0,72;0,08;100;2,46;0;0;
F. Martínez;Everton;CF;CF;28;1300000;2025-06-30;20;1141;2;3,64;2;0,49;22,8;33,56;Uruguay;Uruguay, Spain;derecho;175;72;no;3,08;3,39;48,84;3,55;37,78;0,08;0,12;0;1,34;2,06;0,95;2;0,16;1;0,08;2,92;0,16;2;0,16;0,29;0;0;29;2,29;44,83;6,897;0,16;1,42;33,33;0,39;20;1,03;38,46;0,32;2,37;56,67;11,52;29,45;4,02;1,58;0,79;12,15;2,45;1,5;16,8;75,12;4,18;64,15;4,02;90,2;5,36;77,94;14,91;80,42;0,47;33,33;16,46;7,2;0,04;0,55;0;0;0,16;50;0,24;2,29;72,41;1,42;66,67;0,08;0;0,71;0,47;2,76;77,14;0;;0;;0;0;0;0;;;0;;;0,16;0,16;50;0,08;0;0;
J. Torres;Universidad Católica;RW;RW, RAMF, AMF;27;1200000;2024-12-31;13;515;0;0,23;1;0,31;16,78;44,79;Argentina;Argentina;izquierdo;167;67;si;4,72;5,24;60;0,7;0;0,17;0,33;0;1,4;2,64;0,52;3;0,52;0;0;2,8;0;0;0;0,04;0;0;4;0,7;25;0;0,17;2,27;30,77;1,22;28,57;1,05;33,33;0,17;4,89;35,71;9,26;43,4;1,05;2,97;1,22;19,22;1,4;1,22;27,61;68,35;10,66;57,38;3,5;70;8,74;80;22,02;74,6;3,32;52,63;17,04;24,78;0,05;0,7;0,17;0,17;0,87;20;0,52;4,19;70,83;3,32;42,11;1,57;44,44;0,7;0,87;6,12;80;0;;0;;0;0;0;0;;;0,17;;;0,52;0;0;0,87;0;0;
M. Rodríguez;Huachipato;CF;CF;24;1200000;;24;1791;3;8,26;2;2,21;23,97;31,24;Chile;Chile;derecho;183;68;no;4,17;3,22;60,94;6,43;32,03;0;0;0,05;2,21;3,68;1,11;1;0,05;0;0;2,36;0,15;3;0,15;0,41;1;0,05;50;2,51;46;6;0,1;0,95;36,84;0,45;22,22;0,5;50;0,2;1,51;50;9,6;23,56;3,92;0,3;0,15;9,05;2,16;1,06;13,87;69,93;2,96;54,24;3,72;87,84;4,27;65,88;12,01;73,22;0,95;63,16;16,68;18,04;0,11;1,16;0;0;0,2;50;0,5;1,71;50;1,76;57,14;0,15;100;1,21;0,35;1,91;84,21;0;;0;;0;0;0;0;;;0;;;0;0;0;0;0;0;
F. Hormazábal;Universidad de Chile;RB;RB, RWB;28;1200000;2025-12-31;29;2882;2;2,79;2;3,31;21,89;53,07;Chile;Chile;derecho;176;74;no;9,59;8,84;63,25;3;52,08;0,37;0,65;0,25;3,62;6,24;1,06;5;0,16;0;0;2,69;0,06;2;0,06;0,09;0;0;31;0,97;29,03;6,452;0,06;2,62;32,14;0;0;2,62;32,14;0,34;2,44;58,97;6,93;45,5;1,34;1,25;0,22;26,11;2,09;1,37;37,07;80,12;13,83;75,17;4,59;93,2;11,71;85,33;31,48;86,01;3,06;59,18;18,94;31,09;0,1;1,06;0;0,06;0,25;50;0,56;5,34;77,78;2,28;50,68;0,25;37,5;0,59;0,91;8,34;74,16;0;;0;;0;0;0;0;;;0,53;;;0;0;0;0;0;0;
C. Zavala;Colo Colo;RWF;RWF, RW, RAMF;25;1200000;2025-12-31;24;1643;3;4,14;9;7,09;14,08;47,47;Chile;Chile;derecho;175;70;no;4,11;4,27;53,85;0,99;22,22;0,16;0,3;0;1,64;2,95;0,33;3;0,16;0;0;5,48;0,16;3;0,16;0,23;0;0;32;1,75;46,88;9,375;0,49;5,53;31,68;0,05;100;5,48;31;0,49;4,33;63,29;6,9;48,41;4,22;2,47;0,33;27,06;3,51;0,6;31,5;72,87;5,86;65,42;6,57;90,83;10,52;66,67;24,87;83,7;1,53;32,14;18,96;23,33;0,39;1,86;0;0,11;0,33;50;1,26;1,97;55,56;4,66;52,94;0,38;42,86;1,59;1,7;4,93;86,67;0;;0;;0;0;0;0;;;0,05;;;0,05;0;0;0,6;0;0;
B. Palmezano;Huachipato;AMF;AMF, RW, RAMF;24;1200000;;20;1199;1;1,29;3;4,31;22,82;42,11;Venezuela;Venezuela;izquierdo;163;62;no;4,95;5,85;55,13;1,05;21,43;0,08;0,12;0,08;1,65;2,63;0,83;3;0,23;0;0;3,68;0,08;1;0,08;0,1;0;0;24;1,8;25;4,167;0,23;3,08;31,71;1,43;26,32;1,65;36,36;0,3;4,28;47,37;13,44;37,99;2,4;2,4;0,75;23,79;0,83;1,73;31,08;74,64;9,53;71,65;3,75;92;11,86;70,25;25,67;82,46;2,33;45,16;18,5;22,54;0,32;2,33;0;0,08;0,6;37,5;0,53;4,28;78,95;4,65;45,16;0,68;44,44;1,43;0,98;5,63;88;0;;0;;0;0;0;0;;;0,23;;;1,2;0;0;1,58;0;0;
C. Munder;Cobresal;LW;LW, LAMF, LWF;24;1000000;2024-12-31;18;1507;4;2,52;2;1,78;20,36;41,35;Cuba;Cuba, Chile;derecho;166;62;no;3,7;4,36;41,1;1,91;25;0,06;0,08;0;1,85;2,34;0,96;4;0,24;0;0;5,49;0,24;4;0,24;0,15;0;0;29;1,73;34,48;13,793;0,12;3,4;29,82;3,05;29,41;0,18;66,67;0,36;6,39;58,88;11,47;44,79;3,17;3,11;1,37;14,81;2,27;1,19;23,53;72,08;5,37;67,78;4,96;95,18;8,48;64,08;18,33;82,08;1,85;48,39;19,58;34,91;0,11;0,84;0,12;0;0,24;50;0,54;2,21;62,16;2,63;40,91;0,42;14,29;0,78;1,19;4,54;71,05;0;;0;;0;0;0;0;;;0,12;;;0,06;0;0;0,3;0;0;
F. Formiliano;Universidad de Chile;RCB;RCB, LCB;31;1000000;2025-12-31;7;460;0;0,06;0;0,26;12,52;54,69;Uruguay;Uruguay, Italy;derecho;185;79;no;9,2;5,67;79,31;3,91;40;0;0;0,2;4,7;8;0,59;0;0;0;0;0,39;0;0;0;0,01;0;0;1;0,2;100;0;0;0;0;0;0;0;0;0;0,2;100;1,37;28,57;0,2;0,2;0;40,11;0;0,2;57,52;89,8;26,8;87,59;3,52;83,33;22,3;93,86;53,8;91,27;3,72;68,42;22,27;38,22;0,05;0,59;0;0;0;0;0;7,43;81,58;0,2;100;0,2;100;0,2;0;13,11;79,1;0;;0;;0;0;0;0;;;1,76;;;0;0;0;0;0;0;
F. Zuqui;Universidad Católica;LCMF;LCMF, AMF, RCMF;32;1000000;2026-06-30;12;1148;0;0,06;2;1,82;12,39;52,53;Argentina;Argentina;derecho;174;67;no;5,72;4,47;73,68;1,49;47,37;0,31;0,55;0,24;2,12;3,7;0,55;1;0,08;1;0,08;0,71;0;0;0;0;0;0;3;0,24;33,33;0;0,16;1,1;35,71;0,31;50;0,78;30;0;0,31;25;4,47;35,09;0,08;0,71;0,31;32,14;0,47;1,41;45,31;87,02;16,62;76,89;5,88;97,33;17,33;92,76;38,34;92,23;5,96;61,84;19,42;34,49;0,14;1,41;0;0,16;0,24;66,67;0,16;8,31;76,42;2,35;46,67;1,1;42,86;0,94;0,55;8,39;77,57;0;;0;;0;0;0;0;;;0,39;;;2,04;0;0;2,43;0;0;
